train/explained_variance,train/n_updates,train/value_loss,time/iterations,train/approx_kl,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/std
0.0034502745,90,1591.6876342773437,10,0.021382589,20480,78,-0.04968047348083928,733.5067138671875,0.2421875,0.2,0.00025,177.39280885999997,35.84,262,-24.06012452840805,0.9965840578079224
0.0042422414,190,2205.3190910339354,20,0.022669753,40960,156,-0.04457755786716007,1122.478271484375,0.243603515625,0.2,0.00025,260.30291862000007,52.02,261,-23.99986575245857,0.9940757751464844
0.12984449,290,2382.4346702575685,30,0.00987439,61440,239,-0.0229364960512612,1255.520751953125,0.07998046875,0.2,0.00025,303.05632537,60.73,256,-23.962839084863663,0.9912802577018738
0.27067935,390,1911.9419372558593,40,0.008309279,81920,320,-0.01937745396862738,879.7821655273438,0.0580078125,0.2,0.00025,303.9801362,60.76,255,-23.91898829936981,0.9886624813079834
0.4959367,490,1546.3763942718506,50,0.008964101,102400,398,-0.018231429578736424,789.2572631835938,0.07041015625,0.2,0.00025,322.28737656000004,64.05,256,-23.886132568120956,0.9871756434440613
0.5788697,590,1329.3067602157594,60,0.008245978,122880,477,-0.01634910438733641,545.7140502929688,0.072314453125,0.2,0.00025,332.33203886,65.57,257,-23.86584261059761,0.9858136773109436
0.71683776,690,994.3165834426879,70,0.008886563,143360,557,-0.014528845644963439,331.1606750488281,0.0619140625,0.2,0.00025,330.16145321000005,65.34,256,-23.849778211116792,0.9846815466880798
0.7754455,790,940.4444261550904,80,0.0063270004,163840,634,-0.012618703104089945,329.6665954589844,0.04326171875,0.2,0.00025,334.31220318,65.68,258,-23.832367295026778,0.9838798642158508
0.757275,890,913.8735088348388,90,0.006184552,184320,710,-0.011837237760482821,481.4295959472656,0.048046875,0.2,0.00025,341.14879136999997,67.49,259,-23.812956446409224,0.9823936223983765
0.75502133,990,999.020976638794,100,0.008516848,204800,786,-0.015749215925461614,445.41033935546875,0.067626953125,0.2,0.00025,326.02394842999996,65.08,260,-23.80102311372757,0.9820363521575928
0.7777291,1090,931.7481454849243,110,0.007515463,225280,864,-0.012950201428611762,447.8480529785156,0.072265625,0.2,0.00025,339.53747274,68.17,260,-23.776902854442596,0.9805622100830078
0.80763733,1190,677.7074112892151,120,0.006922835,245760,944,-0.013583372358698397,414.69464111328125,0.046337890625,0.2,0.00025,360.11660552,71.2,260,-23.761571967601775,0.9797009825706482
0.80230296,1290,745.9017715454102,130,0.0077527557,266240,1027,-0.01592978976696031,268.4311218261719,0.061962890625,0.2,0.00025,345.18755415,68.37,259,-23.756346440315248,0.979550302028656
0.7962084,1390,782.5611082077027,140,0.006869277,286720,1107,-0.011689784805639647,248.25125122070312,0.042724609375,0.2,0.00025,354.8996697700001,70.49,258,-23.739671492576598,0.9786949157714844
0.8341562,1490,714.4717380523682,150,0.0045158933,307200,1189,-0.0096052797336597,370.5052490234375,0.02919921875,0.2,0.00025,374.10289578000004,73.67,258,-23.741557002067566,0.9787369966506958
0.8332747,1590,676.4876564979553,160,0.0055326167,327680,1269,-0.009037758244085125,373.6866760253906,0.034814453125,0.2,0.00025,372.17797072999997,73.84,258,-23.718349170684814,0.9774322509765625
0.8371991,1690,592.7869413852692,170,0.005992919,348160,1347,-0.008905043265258428,280.0067443847656,0.046435546875,0.2,0.00025,352.2119584299999,68.57,258,-23.70835263133049,0.9767706394195557
0.8544531,1790,636.6189234733581,180,0.0056339595,368640,1425,-0.010256684245541691,388.8138427734375,0.041015625,0.2,0.00025,354.04359877999997,69.85,258,-23.68690808415413,0.9754685759544373
0.8472091,1890,583.2140381813049,190,0.0054434645,389120,1505,-0.011417270137462765,286.4164123535156,0.036181640625,0.2,0.00025,356.3654571900001,69.58,258,-23.66159757375717,0.9742283821105957
0.86730564,1990,629.3645798683167,200,0.0040599857,409600,1584,-0.009201038532773964,281.6567687988281,0.024951171875,0.2,0.00025,363.66681315,72.1,258,-23.66918601989746,0.9745420813560486
0.88514024,2090,455.7165714740753,210,0.0057725627,430080,1666,-0.011112243089883123,277.1305236816406,0.0357421875,0.2,0.00025,364.4994103499999,71.45,258,-23.64559054374695,0.9731451869010925
0.87942684,2190,488.4531460285187,220,0.004886117,450560,1745,-0.009114277549088001,162.69256591796875,0.026953125,0.2,0.00025,348.68775523000005,68.86,258,-23.642161339521408,0.9728687405586243
0.88997966,2290,454.78620038032534,230,0.0042569553,471040,1826,-0.008057083320454694,184.19769287109375,0.027880859375,0.2,0.00025,351.12696167999997,69.23,257,-23.641348922252654,0.9731882810592651
0.8734433,2390,614.2205456733703,240,0.0043895524,491520,1905,-0.009955800377065315,341.8363342285156,0.029638671875,0.2,0.00025,370.33051367,72.61,257,-23.651347464323045,0.9735763669013977
0.8710124,2490,482.51985721588136,250,0.0036019615,512000,1987,-0.008751476655015722,265.9743957519531,0.02392578125,0.2,0.00025,358.91727406000007,71.09,257,-23.660140150785445,0.9741462469100952
0.87530565,2590,459.28290877342226,260,0.005035327,532480,2066,-0.009334152171504684,141.60220336914062,0.038427734375,0.2,0.00025,350.1544745700001,68.59,257,-23.63890330195427,0.9729737639427185
0.8803286,2690,528.2073042869567,270,0.0049566734,552960,2147,-0.007941549029783345,368.3611755371094,0.030712890625,0.2,0.00025,354.62986771,70.51,257,-23.621928399801256,0.9719285368919373
0.90259767,2790,420.4314120769501,280,0.0039240303,573440,2227,-0.008454161326517351,236.009033203125,0.021826171875,0.2,0.00025,358.62845063000003,70.56,257,-23.61455367207527,0.9714421629905701
0.9083821,2890,391.64684143066404,290,0.005765306,593920,2306,-0.010622724462882616,223.53477478027344,0.038916015625,0.2,0.00025,354.6015025900001,69.94,257,-23.604687064886093,0.9709491729736328
0.9178342,2990,370.4551501274109,300,0.0057442402,614400,2387,-0.01025363715889398,110.890625,0.037451171875,0.2,0.00025,370.25280609000004,72.06,257,-23.611751288175583,0.9712616205215454
0.8986303,3090,495.4024395465851,310,0.0028894525,634880,2465,-0.007104444768629037,224.5736846923828,0.020703125,0.2,0.00025,378.79202490000006,74.36,257,-23.599733108282088,0.9707618951797485
0.87525386,3190,531.6317422866821,320,0.005006627,655360,2543,-0.00879852452490013,204.1695098876953,0.030224609375,0.2,0.00025,377.9425878699999,74.62,257,-23.59579924941063,0.9705871343612671
0.90661246,3290,364.9267108440399,330,0.00642955,675840,2620,-0.010870391805656254,180.02896118164062,0.04580078125,0.2,0.00025,372.28151965999996,72.27,257,-23.582306039333343,0.9695419073104858
0.9121272,3390,397.0893899440765,340,0.0051246434,696320,2698,-0.011282797678723,127.5270004272461,0.0326171875,0.2,0.00025,376.82449278,74.76,258,-23.574928069114684,0.9690479040145874
0.91189104,3490,440.81411600112915,350,0.0049332967,716800,2775,-0.008030977830640041,117.64949035644531,0.02451171875,0.2,0.00025,374.2317871199999,73.8,258,-23.572755628824233,0.969140887260437
0.858464,3590,580.8929336547851,360,0.007281163,737280,2853,-0.013370289490558207,238.19546508789062,0.052880859375,0.2,0.00025,382.72775366,75.74,258,-23.568024188280106,0.9687907099723816
0.9305259,3690,279.2930916309357,370,0.0060155303,757760,2932,-0.00997422837826889,96.95474243164062,0.037255859375,0.2,0.00025,373.89683247,73.15,258,-23.552428042888643,0.9678608179092407
0.90060323,3790,476.651273059845,380,0.0043936595,778240,3010,-0.008437151051475666,166.5979461669922,0.03349609375,0.2,0.00025,385.4269845799999,76.86,258,-23.553389221429825,0.9679780602455139
0.90308595,3890,383.7144956588745,390,0.0063882004,798720,3087,-0.011273652903037145,143.7108917236328,0.038671875,0.2,0.00025,371.62022641999994,73.33,258,-23.542986512184143,0.9676594734191895
0.89213836,3990,558.0462609291077,400,0.0037859345,819200,3165,-0.007414220791542902,216.86460876464844,0.018212890625,0.2,0.00025,397.21835152,77.59,258,-23.526408153772355,0.9664775729179382
0.8888253,4090,500.97365789413453,410,0.003999948,839680,3242,-0.007679499173536897,253.0342559814453,0.020068359375,0.2,0.00025,371.47718968999993,73.63,258,-23.521157848834992,0.966158390045166
0.8925772,4190,495.15100235939025,420,0.0050100936,860160,3322,-0.008582735783420503,362.3990783691406,0.031494140625,0.2,0.00025,394.36974833,77.97,258,-23.507167446613312,0.9655288457870483
0.90700424,4290,539.3696279525757,430,0.0053391056,880640,3401,-0.010658182055340148,270.879150390625,0.039208984375,0.2,0.00025,398.54326225000005,78.66,258,-23.516522061824798,0.9659922122955322
0.9081899,4390,400.0453200340271,440,0.00679456,901120,3479,-0.010473877571348567,210.19049072265625,0.038525390625,0.2,0.00025,372.12108182000003,73.25,258,-23.492955255508424,0.964589536190033
0.8554036,4490,382.1041979789734,450,0.0051534455,921600,3557,-0.007244092869223095,146.1770782470703,0.025341796875,0.2,0.00025,376.79149270999994,74.47,259,-23.489086318016053,0.9644175171852112
0.9148608,4590,346.414074754715,460,0.0062381094,942080,3636,-0.010634168377146124,148.7181854248047,0.043310546875,0.2,0.00025,373.3419730900001,73.16,259,-23.475069749355317,0.963641345500946
0.92020464,4690,335.4643470287323,470,0.005598439,962560,3713,-0.010326490373699926,103.6578598022461,0.0345703125,0.2,0.00025,361.6821323600001,70.44,259,-23.468396300077437,0.9633530974388123
0.89349365,4790,516.5823452949523,480,0.0051266006,983040,3790,-0.010692176010343247,261.67657470703125,0.035791015625,0.2,0.00025,379.81900480999997,75.38,259,-23.46714190244675,0.9632212519645691
